Nervous Attacks,CPES,,,,,,,,,,,,,,,,,,,,,,,,
V06473: Talked to Dr about nervous attacks,V06473,,,,,,,,,,,,,,,,,,,,,,,,
V06474: Totally lost control during nervous attack in past year,V06474,,,,,,,,,,,,,,,,,,,,,,,,
V06475: Severe nerv attack in past yr interf w/ home mgmt,V06475,,,,,,,,,,,,,,,,,,,,,,,,
V06476: Severe nerv attack in past yr interf w/ ability to work,V06476,,,,,,,,,,,,,,,,,,,,,,,,
V06477: Severe nerv attack in past yr interf w/ form/maint relations,V06477,,,,,,,,,,,,,,,,,,,,,,,,
V06478: Severe nerv attack in past yr interf w/ social life,V06478,,,,,,,,,,,,,,,,,,,,,,,,
V06479: More than 1 nervous attack,V06479,,,,,,,,,,,,,,,,,,,,,,,,
V06480: # nervous attacks lifetime,V06480,,,,,,,,,,,,,,,,,,,,,,,,
V06481: Age 1st nervous attack,V06481,,,,,,,,,,,,,,,,,,,,,,,,
V06483: Age last nervous attack,V06483,,,,,,,,,,,,,,,,,,,,,,,,
V06484: Nervous attack occur because of bad news,V06484,,,,,,,,,,,,,,,,,,,,,,,,
V06485: Nervous attack occur because death of family member,V06485,,,,,,,,,,,,,,,,,,,,,,,,
V06486: Nervous attack occur because family problem,V06486,,,,,,,,,,,,,,,,,,,,,,,,
V06487: Nervous attack occur because marital problem,V06487,,,,,,,,,,,,,,,,,,,,,,,,
V06488: Nervous attack occur because natural disaster,V06488,,,,,,,,,,,,,,,,,,,,,,,,
V06489: Nervous attack occur because frightening event,V06489,,,,,,,,,,,,,,,,,,,,,,,,
V06490: Nervous attack occur because strong emotion,V06490,,,,,,,,,,,,,,,,,,,,,,,,
V06491: Nervous attack occur because worries,V06491,,,,,,,,,,,,,,,,,,,,,,,,
V06492: Nervous attack occur because assault,V06492,,,,,,,,,,,,,,,,,,,,,,,,
V06493: Nervous attack occur because economic problem,V06493,,,,,,,,,,,,,,,,,,,,,,,,
V06494: Nervous attack occur because illness,V06494,,,,,,,,,,,,,,,,,,,,,,,,
V06495: Nervous attack occur because use of alcohol or drugs,V06495,,,,,,,,,,,,,,,,,,,,,,,,
V06496: Nervous attack occur because of other situation,V06496,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
